Identifier (RIC),Company Name,GICS Industry Name,"DIR Diversity Score
In the last 8 FY
(Σ=Median)",,,,,,,,"DIR Inclusion Score
In the last 8 FY
(Σ=Median)",,,,,,,,"EBITDA
(USD)
In the last 8 FY
(Σ=Median)",,,,,,,,"Total Capital
(USD)
In the last 8 FY
(Σ=Median)",,,,,,,,"Employees, Prd/Prd Avg, FY
In the last 8 FY
(Σ=Median)",,,,,,,,"Policy Diversity and Opportunity
In the last 8 FY",,,,,,,,"Training Hours Total
In the last 8 FY
(Σ=Median)",,,,,,,,"Board Cultural Diversity, Percent
In the last 8 FY
(Σ=Median)",,,,,,,,"Board Cultural Diversity, Percent Score
(FY0)
(Σ=Median)","Board Gender Diversity, Percent Score
In the last 8 FY
(Σ=Median)",,,,,,,,"Executives Cultural Diversity Score
In the last 8 FY
(Σ=Median)",,,,,,,,"Executive Members Gender Diversity, Percent Score
In the last 8 FY
(Σ=Median)",,,,,,,,"Board Size
In the last 8 FY
(Σ=Median)",,,,,,,,"Women Employees Score
In the last 8 FY
(Σ=Median)",,,,,,,
,,,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology Hardware & Equipment (258),,,32.00,32.00,30.00,27.00,26.00,25.00,24.00,25.00,31.00,31.00,27.30,21.21,20.00,20.00,16.50,17.00,"229,064,187.16","232,974,021.32","237,262,588.88","218,094,390.71","205,272,947.08","170,031,163.82","157,507,557.42","137,117,969.03","1,752,322,690.64","1,668,967,021.09","1,626,387,000.00","1,523,422,000.00","1,289,081,127.34","1,176,339,000.00","1,136,977,730.94","982,150,158.88","7,150.00","6,828.25","6,650.00","6,622.00","6,423.50","6,363.50","6,690.75","6,307.00",,,,,,,,,"208,483.00","179,604.99","187,019.20","199,509.00","269,761.50","474,697.00","718,199.59","715,257.00",20.00,18.33,16.67,16.67,20.00,16.67,20.00,18.18,58.11,47.47,49.40,49.60,50.98,49.30,43.38,42.60,35.09,47.68,31.82,54.59,50.71,50.00,77.78,68.75,63.10,48.39,42.46,41.62,41.76,42.57,41.25,40.08,38.14,9,9,9,9,9,9,9,9,56.47,56.72,55.66,57.24,55.38,54.05,51.43,55.69
KE.OQ,Kimball Electronics Inc,"Electronic Equipment, Instruments & Components",48.00,44.00,33.12,22.00,25.00,28.00,27.00,,21.00,21.00,2.28,15.00,15.00,21.00,15.00,,"112,553,000.00","120,145,000.00","80,576,000.00","99,723,000.00","73,721,000.00","70,960,000.00","68,438,000.00","66,684,000.00","835,298,000.00","805,448,000.00","634,551,000.00","508,186,000.00","497,503,000.00","496,067,000.00","363,864,000.00","352,272,000.00","7,450.00","7,550.00","6,800.00","6,400.00","6,350.00","6,000.00","5,550.00","4,950.00",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,80.77,91.13,93.34,95.36,78.50,83.28,87.10,,,,,,,,,,92.17,93.50,89.10,85.52,88.44,73.15,75.28,,8,7,7,7,7,7,7,,94.89,93.31,91.10,96.73,97.22,,,
CDA.AX,Codan Ltd,"Electronic Equipment, Instruments & Components",39.00,40.00,34.00,32.92,45.00,29.00,45.00,19.00,50.00,50.00,45.00,50.00,10.00,10.00,10.00,20.00,"99,142,626.66","80,635,269.81","112,353,440.48","119,492,535.75","81,784,299.38","55,326,079.33","52,364,562.28","58,553,344.55","392,003,626.84","354,448,555.14","310,681,333.54","269,725,348.47","191,803,901.00","148,272,376.27","139,205,323.50","126,814,852.39",825.00,740.00,732.50,592.50,450.00,425.00,390.00,370.00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,73.22,74.40,27.46,32.16,37.31,44.90,39.82,44.19,,,,,,,,,26.23,30.87,13.91,15.29,17.81,15.59,16.08,14.94,5,5,5,5,5,5,6,6,9.13,10.78,13.96,19.15,11.18,10.91,13.10,14.29
ATSV.VI,AT & S Austria Technologie & Systemtechnik AG,"Electronic Equipment, Instruments & Components",38.00,35.00,29.00,40.72,50.00,36.00,39.00,,27.00,33.00,36.00,41.22,38.00,0.00,0.00,,"411,753,532.00","500,949,500.86","435,577,316.74","312,055,215.44","212,842,174.92","272,481,211.44","287,430,078.12","137,117,969.03","3,331,800,373.44","3,092,710,738.25","2,884,387,275.24","2,224,401,285.39","1,713,873,387.01","1,699,239,484.02","1,538,545,131.96","1,203,531,190.77","14,005.50","14,293.00","12,975.00","11,053.50","10,025.00","9,896.00","9,753.50","9,142.50",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,"139,699.20","208,555.40","242,573.00","174,855.50",,,,,,,,,,,,,,29.17,15.28,23.61,30.00,38.57,30.30,30.00,,13.64,,,,,,,,80.56,87.50,37.50,94.29,85.52,94.12,93.55,,14,14,13,13,12,12,12,,65.97,64.78,63.66,59.25,68.69,66.11,65.94,
BAR.BR,Barco NV,"Electronic Equipment, Instruments & Components",23.00,30.00,32.75,30.00,26.00,30.00,31.00,28.00,18.00,18.00,12.50,11.00,10.00,0.00,22.00,25.00,"107,060,772.34","148,140,995.22","131,325,984.59","61,069,049.41","64,914,509.04","170,031,163.82","141,290,485.37","150,487,638.10","930,801,325.19","950,078,907.00","880,279,323.63","886,021,872.09","906,489,985.34","889,339,282.11","771,988,255.80","774,026,223.29","3,301.50","3,331.00","3,221.50","3,222.00","3,469.50","3,650.00","3,589.50","3,519.50",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"53,088.00","40,284.40","32,980.50","37,323.90","47,995.20","61,921.60","52,773.00","60,612.80",14.29,16.67,16.67,16.67,14.29,14.29,20.00,20.00,22.41,75.89,92.59,90.18,33.65,10.38,19.39,38.71,21.43,,,,,,,,,33.93,42.59,40.18,38.20,42.45,43.88,43.55,33.93,7,6,6,6,7,7,10,10,19.40,20.27,13.30,16.45,17.27,15.48,18.57,28.33
POSI3.SA,Positivo Tecnologia SA,"Technology Hardware, Storage & Peripherals",29.00,,,,,,,,44.00,,,,,,,,"117,779,518.15","128,656,829.36","61,972,604.71","62,384,619.83","35,390,395.62","27,916,967.32","24,059,358.11","43,957,334.32","621,488,015.50","561,468,028.76","380,213,453.49","353,736,835.01","321,012,440.91","288,666,890.01","313,300,323.06","380,385,774.01","4,000.00","4,000.00","2,900.00","1,797.50","1,880.00","2,028.50","2,280.00","2,430.50",TRUE,,,,,,,,"9,577.00",,,,,,,,,,,,,,,,,38.30,,,,,,,,,,,,,,,,57.80,,,,,,,,9,,,,,,,,80.82,,,,,,,
