Identifier (RIC),Company Name,GICS Industry Name,Year,Board Cultural Diversity Percent,Board Gender Diversity Percent Score,Board Size,DIR Diversity Score,DIR Inclusion Score,EBITDA,Employees Prd/Prd Avg FY,Executive Members Gender Diversity Percent Score,Executives Cultural Diversity Score,Total Capital,Training Hours Total,Women Employees Score,Industry Group
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2017,42.86,15.42,7,21,0,427648000,13500,73.2,60.71,14666536000,110701.8417,64.70333333,Industrial & Services
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2018,42.86,14.86,7,14,0,1027100000,13150,72.27,60.71,15585744000,110701.8417,64.70333333,Industrial & Services
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2019,50,13.31,6,28,0,567406000,12450,72.3,60.71,14915985000,26799.9,67.23,Industrial & Services
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2020,50,10.59,6,27,0,504823000,11700,75.78,60.71,15360337000,105822,66.47,Industrial & Services
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2021,50,10.48,6,33,0,243200000,10700,65.32,60.71,15786376000,63537,70.45,Industrial & Services
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2022,50,8.33,6,26.71428571,5.714285714,704760000,10000,82.14,60.71,15423151000,126642.04,66.72,Industrial & Services
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2023,50,5.2,6,34,18,589563000,10250,81.05,60.71,15637360000,179814.5,59.86,Industrial & Services
0053.HK,Guoco Group Ltd,Industrial Conglomerates,2024,33.33,4.88,6,30,22,670077000,10675,79.92,60.71,15886579000,161595.61,57.49,Industrial & Services
2002.TW,China Steel Corp,Metals & Mining,2017,61.54,45.8,13,13,12,2010779078,27485.5,17.91,25,19896676016,302399,1.98,Industrial & Services
2002.TW,China Steel Corp,Metals & Mining,2018,58.33,44.78,12,15,43,2221034323,28490,17.27,58.93,18677528580,345469,2.74,Industrial & Services
2002.TW,China Steel Corp,Metals & Mining,2019,79.9675,40.14,12,12,38,1600642048,27987.75,17.69,58.93,19466661507,312149,2.14,Industrial & Services
2002.TW,China Steel Corp,Metals & Mining,2020,79.9675,40.13,12,12,41,1291731647,27987.75,16.77,58.93,19585283633,357525,1.02,Industrial & Services
2002.TW,China Steel Corp,Metals & Mining,2021,100,38.46,11,11.68,36.41,4177346962,27987.75,14.92,58.93,20648890878,350632,2.26,Industrial & Services
2002.TW,China Steel Corp,Metals & Mining,2022,100,35.84,11,27,39,1718811165,27987.75,11.45,58.93,19661011479,211045,2.5,Industrial & Services
2002.TW,China Steel Corp,Metals & Mining,2023,79.9675,31.65,11,12,46,1166410208,27987.75,10.11,92.86,19665653608,258431,6.3,Industrial & Services
2002.TW,China Steel Corp,Metals & Mining,2024,79.9675,27.39,11,16,51,1047147751,27987.75,24.73,58.93,18706850084,265609,6.19,Industrial & Services
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2017,18.055,50,10,15,0,12108416842,37000,42.86,28.334,71518540839,725850,2.6,Industrial & Services
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2018,18.055,46.88,10,14,0,13833115252,33500,43.75,28.334,71636064944,725850,6.19,Industrial & Services
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2019,18.055,45.71,10,14,0,7343169457,35250,42.86,28.334,66961128559,725850,5.91,Industrial & Services
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2020,18.055,43.59,10,9,0,5124436359,35250,42.31,25,64033895775,725850,5.96,Industrial & Services
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2021,18.055,41.67,12,5,0,12070155576,35250,40.74,25,66703758325,336000,6.65,Industrial & Services
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2022,18.055,40.48,9,16.42857143,10.14285714,9125175406,35250,40.48,25,67189402183,539400,7.84,Industrial & Services
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2023,25,36.54,8,29,14,5159783988,35250,40.38,25,61011069124,620000,19.97,Industrial & Services
2010.SE,Saudi Basic Industries Corporation SJSC,Chemicals,2024,11.11,35.63,9,29,57,5188390737,35250,40,41.67,58322126164,1408000,20.27,Industrial & Services
600299.SS,Bluestar Adisseo Co,Chemicals,2017,40.73666667,47.8425,9.25,26.5,7.5,474817738.2,1910,78.525,90.54,2655474094,30686.5,16.12,Industrial & Services
600299.SS,Bluestar Adisseo Co,Chemicals,2018,40.73666667,47.8425,9.25,26.5,7.5,386353212.1,2104,78.525,90.54,2536101018,30686.5,16.12,Industrial & Services
600299.SS,Bluestar Adisseo Co,Chemicals,2019,40.73666667,47.8425,9.25,26.5,7.5,353795891.9,2220,78.525,90.54,2477399662,30686.5,16.12,Industrial & Services
600299.SS,Bluestar Adisseo Co,Chemicals,2020,40.73666667,47.8425,9.25,26.5,7.5,499448806.1,2266.5,78.525,90.54,2473728978,30686.5,16.12,Industrial & Services
600299.SS,Bluestar Adisseo Co,Chemicals,2021,44.44,45.04,9,25,0,522250978.4,2400,85.52,90.54,2552428932,32040,16.12,Industrial & Services
600299.SS,Bluestar Adisseo Co,Chemicals,2022,40.73666667,69.11,10,26.5,7.5,426312207.9,2555.5,82.51,90.54,2463905730,32018,16.12,Industrial & Services
600299.SS,Bluestar Adisseo Co,Chemicals,2023,44.44,39.85,9,26.5,7.5,262793971.4,2695,82.49,90.54,2412456429,34688,15.31,Industrial & Services
600299.SS,Bluestar Adisseo Co,Chemicals,2024,33.33,37.37,9,28,15,471709972.2,2831.5,63.58,90.54,2321166963,24000,16.93,Industrial & Services
600941.SS,China Mobile Ltd,Wireless Telecommunication Services,2017,67.855,18.75,8,42,25,46195475750,453338.8,14.63,90,1.82839E+11,29665700,98.45,Industrial & Services
600941.SS,China Mobile Ltd,Wireless Telecommunication Services,2018,67.855,16.91,8,40,25,46195475750,453338.8,16.36,90,1.82839E+11,41122056,97.64,Industrial & Services
600941.SS,China Mobile Ltd,Wireless Telecommunication Services,2019,67.855,16.18,7,40,23,40170605774,453338.8,16.78,90,1.48895E+11,46282521.6,95.49,Industrial & Services
600941.SS,China Mobile Ltd,Wireless Telecommunication Services,2020,85.71,18.84,7,39,29,43088569048,457695.5,17.34,90,1.65071E+11,48224462.3,94.92,Industrial & Services
600941.SS,China Mobile Ltd,Wireless Telecommunication Services,2021,67.855,17.86,8,34,0,44531954023,455285.5,17.81,90,1.82171E+11,59653791.6,95.42,Industrial & Services
