Identifier (RIC),Company Name,GICS Industry Name,Year,Board Cultural Diversity Percent,Board Gender Diversity Percent Score,Board Size,DIR Diversity Score,DIR Inclusion Score,EBITDA,Employees Prd/Prd Avg FY,Executive Members Gender Diversity Percent Score,Executives Cultural Diversity Score,Total Capital,Training Hours Total,Women Employees Score,Industry Group
002410.SZ,Glodon Co Ltd,Software,2017,16.665,30.48,9.0,21.6,16.2,38569750.83,4583.5,78.03399999999999,67.205,577485238.37,215313.53333333333,73.204,Technology & Consumer Goods
002410.SZ,Glodon Co Ltd,Software,2018,16.665,30.48,9.0,21.6,16.2,87635059.87,4905.0,78.03399999999999,67.205,649886691.36,215313.53333333333,73.204,Technology & Consumer Goods
002410.SZ,Glodon Co Ltd,Software,2019,16.665,30.48,9.0,21.6,16.2,87590823.94,5722.0,78.03399999999999,67.205,652574433.86,215313.53333333333,73.204,Technology & Consumer Goods
002410.SZ,Glodon Co Ltd,Software,2020,16.665,13.42,9.0,21.0,0.0,58316275.96,6679.5,82.46,77.27,638720883.97,215313.53333333333,78.31,Technology & Consumer Goods
002410.SZ,Glodon Co Ltd,Software,2021,16.665,45.04,9.0,21.0,0.0,81471727.2,7664.0,68.26,57.14,1007063803.83,215313.53333333333,78.7,Technology & Consumer Goods
002410.SZ,Glodon Co Ltd,Software,2022,16.665,42.37,9.0,22.0,0.0,142568589.92,8849.5,72.87,67.205,1002809083.61,248940.6,67.43,Technology & Consumer Goods
002410.SZ,Glodon Co Ltd,Software,2023,11.11,39.85,9.0,22.0,28.0,194937119.41,10084.5,84.47,67.205,1011403847.94,215000.0,70.32,Technology & Consumer Goods
002410.SZ,Glodon Co Ltd,Software,2024,22.22,11.72,9.0,22.0,53.0,105059445.18,10516.0,82.11,67.205,922563484.46,182000.0,71.26,Technology & Consumer Goods
002475.SZ,Luxshare Precision Industry Co Ltd,Electronic Equipment Instruments & Components,2017,14.29,92.75142857142858,7.0,31.722857142857144,24.337142857142855,250754414.52,41644.0,75.78571428571429,98.65,2291976243.7,4698639.492,70.704,Technology & Consumer Goods
002475.SZ,Luxshare Precision Industry Co Ltd,Electronic Equipment Instruments & Components,2018,14.29,66.78,7.0,28.0,0.0,416898893.38,49862.0,94.15,98.65,2982468459.8,4698639.492,70.704,Technology & Consumer Goods
002475.SZ,Luxshare Precision Industry Co Ltd,Electronic Equipment Instruments & Components,2019,14.29,99.09,7.0,40.0,0.0,667858804.45,66497.0,89.91,98.65,3518260360.7,4698639.492,70.704,Technology & Consumer Goods
002475.SZ,Luxshare Precision Industry Co Ltd,Electronic Equipment Instruments & Components,2020,14.29,97.87,7.0,33.0,36.0,1068349977.02,107818.0,78.34,98.65,4101230733.43,206118.2,75.45,Technology & Consumer Goods
002475.SZ,Luxshare Precision Industry Co Ltd,Electronic Equipment Instruments & Components,2021,14.29,97.33,7.0,45.0,36.0,1596036209.96,154847.0,90.26,98.65,6646759580.08,1323332.0,79.61,Technology & Consumer Goods
002475.SZ,Luxshare Precision Industry Co Ltd,Electronic Equipment Instruments & Components,2022,14.29,96.72,7.0,34.06,36.36,2079953977.42,200281.0,60.36,98.65,10698803888.48,6007559.0,65.43,Technology & Consumer Goods
002475.SZ,Luxshare Precision Industry Co Ltd,Electronic Equipment Instruments & Components,2023,14.29,96.08,7.0,23.0,31.0,2720987357.19,232542.0,58.39,98.65,13335682121.73,10715691.29,66.22,Technology & Consumer Goods
002475.SZ,Luxshare Precision Industry Co Ltd,Electronic Equipment Instruments & Components,2024,14.29,95.39,7.0,19.0,31.0,3044527263.38,234758.5,59.09,98.65,15550909504.35,5240496.97,66.81,Technology & Consumer Goods
002511.SZ,C&S Paper Co Ltd,Household Products,2017,10.066666666666666,65.22,9.6,26.454,0.6140000000000001,78345679.1,4581.5,20.042,47.89,515736010.37,1856.0,46.84,Technology & Consumer Goods
002511.SZ,C&S Paper Co Ltd,Household Products,2018,10.066666666666666,65.22,9.6,26.454,0.6140000000000001,96567514.56,5144.5,20.042,47.89,698130564.22,1856.0,46.84,Technology & Consumer Goods
002511.SZ,C&S Paper Co Ltd,Household Products,2019,10.066666666666666,65.22,9.6,26.454,0.6140000000000001,112619682.93,5584.0,20.042,47.89,574264536.4,1856.0,46.84,Technology & Consumer Goods
002511.SZ,C&S Paper Co Ltd,Household Products,2020,10.066666666666666,78.72,9.0,29.0,0.0,145422426.67,5895.5,17.34,63.64,624734955.04,1856.0,52.88,Technology & Consumer Goods
002511.SZ,C&S Paper Co Ltd,Household Products,2021,11.11,77.36,9.0,28.0,0.0,213950101.15,6331.0,17.81,32.14,830647751.72,1856.0,50.88,Technology & Consumer Goods
002511.SZ,C&S Paper Co Ltd,Household Products,2022,10.066666666666666,42.37,9.0,24.27,1.07,165057284.99,6829.0,33.28,47.89,827435141.13,1856.0,47.73,Technology & Consumer Goods
002511.SZ,C&S Paper Co Ltd,Household Products,2023,9.09,63.25,11.0,25.0,1.0,113181688.22,6836.5,15.96,47.89,890138111.12,1856.0,41.14,Technology & Consumer Goods
002511.SZ,C&S Paper Co Ltd,Household Products,2024,10.0,64.4,10.0,26.0,1.0,103258787.23,6888.0,15.82,47.89,976111093.58,1856.0,41.57,Technology & Consumer Goods
0142.HK,First Pacific Co Ltd,Food Products,2017,90.91,70.62,11.0,18.0,0.0,1218700000.0,111230.0,75.69,38.518,14142700000.0,137018.0,6.25,Technology & Consumer Goods
0142.HK,First Pacific Co Ltd,Food Products,2018,90.91,67.29,11.0,18.0,18.0,1431400000.0,113765.0,77.6,38.518,16921100000.0,150887.0,7.65,Technology & Consumer Goods
0142.HK,First Pacific Co Ltd,Food Products,2019,90.0,69.82,10.0,38.0,42.0,1516000000.0,106462.0,82.81,38.518,17315400000.0,99605.0,58.1,Technology & Consumer Goods
0142.HK,First Pacific Co Ltd,Food Products,2020,88.89,73.79,9.0,23.0,55.0,1538100000.0,106115.0,79.73,25.0,17847200000.0,142458.0,6.94,Technology & Consumer Goods
0142.HK,First Pacific Co Ltd,Food Products,2021,81.82,56.78,11.0,44.58,54.55,1515600000.0,102481.5,88.28,31.82,21567000000.0,92901.0,4.69,Technology & Consumer Goods
0142.HK,First Pacific Co Ltd,Food Products,2022,80.0,56.05,10.0,35.0,55.0,1850700000.0,101623.5,78.63,39.29,21963000000.0,458656.0,9.39,Technology & Consumer Goods
0142.HK,First Pacific Co Ltd,Food Products,2023,80.0,51.19,10.0,33.0,18.0,2216500000.0,100661.5,76.19,42.31,21676300000.0,314091.0,11.81,Technology & Consumer Goods
0142.HK,First Pacific Co Ltd,Food Products,2024,80.0,46.0,10.0,39.0,22.0,2507500000.0,101336.0,87.5,54.17,23275100000.0,408126.0,16.42,Technology & Consumer Goods
0992.HK,Lenovo Group Ltd,Technology Hardware Storage & Peripherals,2017,18.18,52.34,11.0,27.20142857142857,5.384285714285714,1403563000.0,56000.0,83.33,31.668,7967530000.0,1714125.0,44.64,Technology & Consumer Goods
0992.HK,Lenovo Group Ltd,Technology Hardware Storage & Peripherals,2018,18.18,44.85,11.0,29.0,0.0,1074007000.0,53000.0,81.25,31.668,9163379000.0,1615705.0,54.69,Technology & Consumer Goods
0992.HK,Lenovo Group Ltd,Technology Hardware Storage & Peripherals,2019,18.18,43.38,11.0,30.0,0.0,1934407000.0,55500.0,82.63,31.668,9749716000.0,1601390.0,43.42,Technology & Consumer Goods
0992.HK,Lenovo Group Ltd,Technology Hardware Storage & Peripherals,2020,16.67,46.38,12.0,31.0,9.0,2401437000.0,60000.0,81.09,41.67,10816321000.0,1995000.0,47.73,Technology & Consumer Goods
