Identifier,Company Name,GICS Industry Name,DIR Diversity Score_2024,DIR Diversity Score_2023,DIR Diversity Score_2022,DIR Diversity Score_2021,DIR Diversity Score_2020,DIR Diversity Score_2019,DIR Diversity Score_2018,DIR Diversity Score_2017,DIR Inclusion Score_2024,DIR Inclusion Score_2023,DIR Inclusion Score_2022,DIR Inclusion Score_2021,DIR Inclusion Score_2020,DIR Inclusion Score_2019,DIR Inclusion Score_2018,DIR Inclusion Score_2017,EBITDA_2024,EBITDA_2023,EBITDA_2022,EBITDA_2021,EBITDA_2020,EBITDA_2019,EBITDA_2018,EBITDA_2017,Total Capital_2024,Total Capital_2023,Total Capital_2022,Total Capital_2021,Total Capital_2020,Total Capital_2019,Total Capital_2018,Total Capital_2017,Employees Prd/Prd Avg FY_2024,Employees Prd/Prd Avg FY_2023,Employees Prd/Prd Avg FY_2022,Employees Prd/Prd Avg FY_2021,Employees Prd/Prd Avg FY_2020,Employees Prd/Prd Avg FY_2019,Employees Prd/Prd Avg FY_2018,Employees Prd/Prd Avg FY_2017,Policy Diversity and Opportunity_2024,Policy Diversity and Opportunity_2023,Policy Diversity and Opportunity_2022,Policy Diversity and Opportunity_2021,Policy Diversity and Opportunity_2020,Policy Diversity and Opportunity_2019,Policy Diversity and Opportunity_2018,Policy Diversity and Opportunity_2017,Training Hours Total_2024,Training Hours Total_2023,Training Hours Total_2022,Training Hours Total_2021,Training Hours Total_2020,Training Hours Total_2019,Training Hours Total_2018,Training Hours Total_2017,Board Cultural Diversity Percent_2024,Board Cultural Diversity Percent_2023,Board Cultural Diversity Percent_2022,Board Cultural Diversity Percent_2021,Board Cultural Diversity Percent_2020,Board Cultural Diversity Percent_2019,Board Cultural Diversity Percent_2018,Board Cultural Diversity Percent_2017,Board Gender Diversity Percent Score_2024,Board Gender Diversity Percent Score_2023,Board Gender Diversity Percent Score_2022,Board Gender Diversity Percent Score_2021,Board Gender Diversity Percent Score_2020,Board Gender Diversity Percent Score_2019,Board Gender Diversity Percent Score_2018,Board Gender Diversity Percent Score_2017,Executives Cultural Diversity Score_2024,Executives Cultural Diversity Score_2023,Executives Cultural Diversity Score_2022,Executives Cultural Diversity Score_2021,Executives Cultural Diversity Score_2020,Executives Cultural Diversity Score_2019,Executives Cultural Diversity Score_2018,Executives Cultural Diversity Score_2017,Executive Members Gender Diversity Percent Score_2024,Executive Members Gender Diversity Percent Score_2023,Executive Members Gender Diversity Percent Score_2022,Executive Members Gender Diversity Percent Score_2021,Executive Members Gender Diversity Percent Score_2020,Executive Members Gender Diversity Percent Score_2019,Executive Members Gender Diversity Percent Score_2018,Executive Members Gender Diversity Percent Score_2017,Board Size_2024,Board Size_2023,Board Size_2022,Board Size_2021,Board Size_2020,Board Size_2019,Board Size_2018,Board Size_2017,Women Employees Score_2024,Women Employees Score_2023,Women Employees Score_2022,Women Employees Score_2021,Women Employees Score_2020,Women Employees Score_2019,Women Employees Score_2018,Women Employees Score_2017
NOKIA.HE,Nokia Oyj,Communications Equipment,52.0,49.0,68.0,64.37,67.0,60.0,57.0,44.0,30.0,33.0,38.0,20.0,12.0,20.0,40.0,33.0,3331607826.9,3154072815.16,4282962328.77,3793511129.3,3705422569.61,3550209627.16,3470501880.91,4361751898.37,26397142561.34,28490393210.69,28836686643.84,26287429234.02,23242550073.28,23213685178.13,22012340581.7,24294334281.02,95007.0,86792.5,87411.5,89983.0,95180.5,100702.5,103041.5,101937.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2198274.0,2523145.0,2591100.0,2969274.0,3220582.0,3440902.0,1644176.0,1916625.0,70.0,80.0,75.0,77.78,70.0,70.0,80.0,75.0,92.41,78.75,68.29,87.95,66.67,73.75,41.67,25.93,81.48,78.26,90.38,98.0,92.86,95.0,87.5,83.33,54.43,50.0,63.41,75.0,64.29,41.25,51.67,36.54,10.0,10.0,8.0,9.0,10.0,10.0,10.0,8.0,25.34,27.61,29.31,32.0,37.1,39.47,46.88,45.83
QDT.PA,Quadient SA,Technology Hardware Storage & Peripherals,35.0,46.0,42.0,48.2,27.0,35.74285714285714,27.0,25.0,27.0,27.0,26.0,25.0,25.0,25.142857142857142,23.0,23.0,273859998.27,270464025.03,276445412.98,298425951.77,316926797.34,311162481.98,353598708.32,325255033.19,2050597040.75,2113964198.82,2638980937.51,2750518816.98,2679512352.05,2415600466.92,2529963360.86,2183839801.37,4810.5,4939.5,5107.0,5464.0,5649.0,5730.5,5953.5,6074.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,173159.0,60693.0,36728.0,63831.0,114350.0,122232.0,127026.0,110034.0,25.0,25.0,16.67,25.0,27.27,30.0,22.22,18.18,28.76,29.43,33.08,33.76,13.32,25.63,61.11,11.57,51.32,73.68,98.39,89.06,86.36,79.762,79.762,79.762,23.66,25.26,35.35,59.14,43.79,32.5,11.76,10.19,12.0,12.0,12.0,12.0,11.0,10.0,9.0,11.0,52.77,53.24,49.16,48.58,46.52,42.69,45.65,56.09
VANTI.PA,Vantiva SA,Communications Equipment,33.0,33.0,35.0,31.0,32.0,30.0,41.0,27.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,258639708.59285715,160021189.01,183005136.99,258054248.23,195407914.02,338542250.52,285576658.41,389870562.97,1321461821.537143,604769735.03,803724315.07,1556283109.38,1596238397.66,1492052104.12,1482934214.15,1714230875.35,12390.07142857143,4825.0,5651.5,9635.0,15351.5,17579.5,17026.0,16662.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,74567.0,134195.0,415544.0,95220.0,340619.0,312367.0,292534.0,302683.0,40.0,37.5,30.0,25.0,38.46,62.5,60.0,54.55,4.43,3.54,4.82,9.24,19.06,19.61,30.56,35.57,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,45.31,64.9,73.35,86.15,87.19,91.83,98.15,97.42,10.0,9.0,10.0,12.0,13.0,8.0,10.0,11.0,27.73,30.65,4.13,4.89,4.79,9.52,9.17,11.61
0992.HK,Lenovo Group Ltd,Technology Hardware Storage & Peripherals,28.0,23.0,28.41,21.0,31.0,30.0,29.0,27.201428571428572,6.0,7.0,7.69,8.0,9.0,0.0,0.0,5.384285714285714,3615379000.0,4275446000.0,4364917000.0,3114234000.0,2401437000.0,1934407000.0,1074007000.0,1403563000.0,10042876000.0,10406371000.0,11372875000.0,8960940000.0,10816321000.0,9749716000.0,9163379000.0,7967530000.0,73250.0,76000.0,73250.0,67250.0,60000.0,55500.0,53000.0,56000.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3465000.0,2625000.0,3718000.0,2205000.0,1995000.0,1601390.0,1615705.0,1714125.0,18.18,22.22,20.0,20.0,16.67,18.18,18.18,18.18,60.96,41.1,43.06,17.86,46.38,43.38,44.85,52.34,25.0,25.0,25.0,41.67,41.67,31.668,31.668,31.668,71.92,56.85,60.42,77.51,81.09,82.63,81.25,83.33,11.0,9.0,10.0,10.0,12.0,11.0,11.0,11.0,53.37,49.4,45.89,53.39,47.73,43.42,54.69,44.64
REDI.NS,Redington Ltd,Electronic Equipment Instruments & Components,28.0,32.0,30.0,30.0,30.0,30.0,30.0,30.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,229064187.16,264200340.8,238516022.1,186339335.77,137028924.91,133960682.28,129099984.64,132444795.68,1298159568.09,1291865871.47,914141241.14,810614326.54,990911021.73,803418618.1,821253263.71,774903623.75,4844.0,3157.0,1604.0,1553.0,1567.0,1673.5,1709.5,1487.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,198400.0,186040.0,22540.0,135660.0,135660.0,135660.0,135660.0,135660.0,37.5,44.44,40.97,40.97,40.97,40.97,40.97,40.97,75.69,69.12,64.21,69.67333333333333,69.67333333333333,69.67333333333333,69.67333333333333,69.67333333333333,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,24.03,24.06,25.03,24.373333333333335,24.373333333333335,24.373333333333335,24.373333333333335,24.373333333333335,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.77,8.43,10.24,9.479999999999999,9.479999999999999,9.479999999999999,9.479999999999999,9.479999999999999
ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications Equipment,44.0,41.0,53.67,53.0,50.0,56.0,63.0,51.52428571428572,40.0,40.0,14.29,14.0,17.0,58.0,57.0,34.32714285714285,3032537019.11,3002682030.4,3935317742.46,4578613151.61,4645639577.35,2133518478.96,2002733721.93,177889949.64,12529873090.25,15072613489.62,16866004342.9,16398906982.92,15172250085.21,13827814569.54,13656748452.4,15925478864.14,96186.0,102266.0,103425.5,101073.0,100120.5,97388.0,98047.0,106099.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3808171.2,1962839.4,1925118.0,2510517.6,2500000.0,2031146.7,1800000.0,2920000.0,30.77,35.71,33.33,31.25,31.25,31.25,23.53,15.38,65.43,31.68,30.33,29.85,24.31,14.12,65.49,84.09,44.05,31.82,56.94,57.14,52.0,77.78,53.288333333333334,53.288333333333334,56.64,41.59,50.0,54.2,55.22,65.27,89.44,74.63,13.0,14.0,15.0,16.0,16.0,16.0,17.0,13.0,50.0,43.28,48.28,51.0,59.68,52.63,75.0,54.17
LOGN.S,Logitech International SA,Technology Hardware Storage & Peripherals,54.0,47.0,44.04,47.24,38.0,44.04,41.0,37.0,43.0,47.0,21.666666666666668,40.0,0.0,21.666666666666668,0.0,0.0,679474000.0,605902000.0,919455000.0,1231216000.0,351880000.0,359889000.0,287931000.0,264993000.0,2233653000.0,2257560000.0,2398738000.0,2261789000.0,1489268000.0,1176339000.0,1050557000.0,856111000.0,7350.0,7800.0,8600.0,7800.0,6600.0,6350.0,6250.0,6150.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,37819.0,29589.0,21568.0,21568.0,12000.0,15000.0,15000.0,20000.0,60.0,66.67,72.73,81.82,81.82,81.82,84.62,80.0,83.84,70.9,86.03,91.3,75.74,76.8,94.92,63.75,94.88,33.59,42.59,31.25,59.212,93.75,59.212,59.212,96.95,86.0,87.93,86.41,27.54,29.3,29.78,24.14,10.0,13.0,11.0,11.0,11.0,11.0,13.0,10.0,56.32,53.37,49.4,38.36,46.61,42.05,50.0,70.31
HPQ.N,HP Inc,Technology Hardware Storage & Peripherals,58.0,55.0,60.57,62.0,61.0,57.0,58.0,57.0,47.0,50.0,50.0,50.0,43.0,69.0,69.0,71.0,5021000000.0,5064000000.0,5888000000.0,6459000000.0,4726000000.0,4926000000.0,4614000000.0,4209000000.0,8346000000.0,8415000000.0,7989000000.0,5842000000.0,3989000000.0,3944000000.0,5348000000.0,4411000000.0,58000.0,58000.0,54500.0,52000.0,54500.0,55500.0,52000.0,49000.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1752224.0,1740000.0,1750000.0,1700000.0,1600000.0,1660000.0,1510000.0,1100000.0,9.545,9.545,9.545,9.545,9.09,10.0,9.545,9.545,94.54,95.61,92.01,94.47,97.99,96.52,97.72,98.18,56.71,56.71,56.71,56.71,56.71,77.27,50.0,42.86,92.17,86.97,78.28,92.36,97.84,98.31,97.81,98.35,13.0,13.0,12.0,12.0,11.0,10.0,10.0,12.0,61.24,54.82,52.74,56.78,51.14,53.95,64.06,69.64
601231.SS,Universal Scientific Industrial Shanghai Co Ltd,Electronic Equipment Instruments & Components,50.0,42.0,43.6,29.0,30.0,38.92,38.92,38.92,47.0,47.0,37.45,39.0,38.0,41.69,41.69,41.69,478944337.68,628717356.32,494660641.36,394037341.0,254066105.03,257374206.97,274738338.23,204982074.03,3602023838.37,3543519265.79,3302092868.5,2591136657.47,1823266129.45,1582674087.7,1471259961.88,1294237646.55,23391.5,24271.0,21657.0,18597.0,18607.5,17538.0,15918.5,15342.0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,417418.0,479808.0,569222.0,572074.0,417860.0,491276.4,491276.4,491276.4,66.67,77.78,55.56,11.11,11.11,44.446000000000005,44.446000000000005,44.446000000000005,11.72,12.18,12.65,12.41,13.42,12.475999999999999,12.475999999999999,12.475999999999999,95.95,95.95,95.95,95.95,95.95,95.95,95.95,95.95,15.82,15.96,16.05,17.05,37.5,20.476,20.476,20.476,9.0,9.0,9.0,9.0,10.0,9.2,9.2,9.2,74.57,68.02,69.68,80.92,79.09,74.45599999999999,74.45599999999999,74.45599999999999
002475.SZ,Luxshare Precision Industry Co Ltd,Electronic Equipment Instruments & Components,19.0,23.0,34.06,45.0,33.0,40.0,28.0,31.722857142857144,31.0,31.0,36.36,36.0,36.0,0.0,0.0,24.337142857142858,3044527263.38,2720987357.19,2079953977.42,1596036209.96,1068349977.02,667858804.45,416898893.38,250754414.52,15550909504.35,13335682121.73,10698803888.48,6646759580.08,4101230733.43,3518260360.7,2982468459.8,2291976243.7,234758.5,232542.0,200281.0,154847.0,107818.0,66497.0,49862.0,41644.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5240496.97,10715691.29,6007559.0,1323332.0,206118.2,4698639.492,4698639.492,4698639.492,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,95.39,96.08,96.72,97.33,97.87,99.09,66.78,92.75142857142858,98.65,98.65,98.65,98.65,98.65,98.65,98.65,98.65,59.09,58.39,60.36,90.26,78.34,89.91,94.15,75.78571428571429,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,66.81,66.22,65.43,79.61,75.45,70.704,70.704,70.704
